Season,Team,PLD,GF,GA,PTS
D1_2017_2018.csv,Bayern Munich,34,92,28,84
D1_2017_2018.csv,Schalke 04,34,53,37,63
D1_2017_2018.csv,Hoffenheim,34,66,48,55
D1_2017_2018.csv,Dortmund,34,64,47,55
D1_2017_2018.csv,Leverkusen,34,58,44,55
D1_2017_2018.csv,RB Leipzig,34,57,53,53
D1_2017_2018.csv,Stuttgart,34,36,36,51
D1_2017_2018.csv,Ein Frankfurt,34,45,45,49
D1_2017_2018.csv,M'gladbach,34,47,52,47
D1_2017_2018.csv,Hertha,34,43,46,43
D1_2017_2018.csv,Werder Bremen,34,37,40,42
D1_2017_2018.csv,Augsburg,34,43,46,41
D1_2017_2018.csv,Hannover,34,44,54,39
D1_2017_2018.csv,Mainz,34,38,52,36
D1_2017_2018.csv,Freiburg,34,32,56,36
D1_2017_2018.csv,Wolfsburg,34,36,48,33
D1_2017_2018.csv,Hamburg,34,29,53,31
D1_2017_2018.csv,FC Koln,34,35,70,22
