Team,PTS,PredTot,err,abs_err,flag
Dortmund,57,48.5,-8.5,8.5,Under (pred<actual)
M'gladbach,45,53.2,8.200000000000003,8.200000000000003,Over (pred>actual)
Werder Bremen,51,44.3,-6.700000000000003,6.700000000000003,Under (pred<actual)
Wolfsburg,43,48.8,5.799999999999997,5.799999999999997,Over (pred>actual)
Mainz,52,56.9,4.899999999999999,4.899999999999999,Over (pred>actual)
Augsburg,43,47.4,4.399999999999999,4.399999999999999,Over (pred>actual)
Freiburg,55,51.1,-3.8999999999999986,3.8999999999999986,Under (pred<actual)
Leverkusen,69,72.5,3.5,3.5,Over (pred>actual)
Union Berlin,40,36.7,-3.299999999999997,3.299999999999997,Under (pred<actual)
Stuttgart,50,47,-3,3,Under (pred<actual)
Hoffenheim,32,34.1,2.1000000000000014,2.1000000000000014,Over (pred>actual)
Holstein Kiel,25,23.2,-1.8000000000000007,1.8000000000000007,Under (pred<actual)
RB Leipzig,51,52.7,1.7000000000000028,1.7000000000000028,Over (pred>actual)
Bayern Munich,82,81.3,-0.7000000000000028,0.7000000000000028,Under (pred<actual)
Bochum,25,25.6,0.6000000000000014,0.6000000000000014,Over (pred>actual)
Heidenheim,29,28.6,-0.3999999999999986,0.3999999999999986,Under (pred<actual)
Ein Frankfurt,60,59.7,-0.29999999999999716,0.29999999999999716,Under (pred<actual)
St Pauli,32,32,0,0,Under (pred<actual)
